name,slug,category,sub_category,movement_pattern,is_compound,is_unilateral,gender_suitability,min_age,max_age,min_fitness_level,max_fitness_level,primary_goals,secondary_goals,default_sets,default_reps_min,default_reps_max,default_duration_sec,default_rest_sec,met_value,ai_tags
Barbell Bench Press,bb_bench_press,strength,upper_push,push,true,false,all,16,65,intermediate,elite,"muscle_gain","muscle_toning",4,5,10,,90,5.5,"chest|push|barbell|gym|strength"
Barbell Overhead Press,bb_ohp,strength,upper_push,push,true,false,all,16,65,intermediate,elite,"muscle_gain","muscle_toning",4,5,8,,90,5.0,"shoulders|push|overhead|barbell|gym|compound_lift"
Arnold Press,arnold_press,strength,upper_push,push,true,false,all,16,65,intermediate,elite,"muscle_gain|muscle_toning",,3,8,12,,60,4.0,"shoulders|all_heads|rotation|dumbbells|gym|home"
Chest Dips,chest_dips,strength,upper_push,push,true,false,all,16,65,intermediate,elite,"muscle_gain|muscle_toning",,3,6,12,,75,5.5,"chest|triceps|push|bodyweight|dip_station|gym"
Tricep Dips (Chair),tricep_dips_chair,strength,upper_push,push,false,false,all,14,70,beginner,advanced,"muscle_toning|general_fitness",,3,8,15,,60,3.8,"triceps|push|bodyweight|no_equipment|home_workout|office"
Resistance Band Chest Press,band_chest_press,strength,upper_push,push,true,false,all,14,80,beginner,advanced,"muscle_toning|rehabilitation","general_fitness",3,12,20,,45,3.2,"chest|push|resistance_bands|home_workout|hotel|portable"
Resistance Band Shoulder Press,band_shoulder_press,strength,upper_push,push,true,false,all,14,80,beginner,advanced,"muscle_toning|rehabilitation","general_fitness",3,12,20,,45,3.0,"shoulders|push|resistance_bands|home_workout|hotel|portable"
Chin-up,chinup,strength,upper_pull,pull,true,false,all,14,65,intermediate,elite,"muscle_gain|muscle_toning","general_fitness",3,3,12,,90,7.5,"back|biceps|pull|pullup_bar|gym|home|underhand_grip"
Negative Pull-up,negative_pullup,strength,upper_pull,pull,true,false,all,14,65,beginner,intermediate,"muscle_gain|general_fitness","muscle_toning",3,3,6,,90,5.0,"back|lats|pull|pullup_bar|gym|home|beginner_pull"
Dumbbell Single Arm Row,db_single_arm_row,strength,upper_pull,pull,true,true,all,14,70,beginner,elite,"muscle_gain|muscle_toning","general_fitness",3,8,12,,60,4.5,"back|lats|pull|unilateral|dumbbells|gym|home"
Barbell Bent Over Row,bb_bent_row,strength,upper_pull,pull,true,false,all,16,65,intermediate,elite,"muscle_gain","muscle_toning",4,6,10,,75,5.5,"back|lats|pull|barbell|gym|compound_lift"
Dumbbell Seated Row,db_seated_row,strength,upper_pull,pull,true,false,all,14,75,beginner,elite,"muscle_gain|muscle_toning","general_fitness",3,10,15,,60,4.0,"back|lats|pull|dumbbells|gym|home"
Face Pull,face_pull,strength,upper_pull,pull,false,false,all,14,80,beginner,advanced,"posture_correction|rehabilitation","muscle_toning",3,12,20,,45,3.0,"rear_deltoid|rotator_cuff|posture|cable_machine|resistance_bands|gym|home"
Band Pull-Apart,band_pull_apart,strength,upper_pull,pull,false,false,all,14,85,sedentary,advanced,"posture_correction|rehabilitation","general_fitness",3,15,25,,30,2.5,"rear_deltoid|upper_back|posture|resistance_bands|home_workout|office_friendly|desk_worker"
Dumbbell Bicep Curl,db_bicep_curl,strength,upper_pull,pull,false,false,all,14,75,beginner,elite,"muscle_gain|muscle_toning","general_fitness",3,10,15,,45,3.5,"biceps|curl|isolation|dumbbells|gym|home"
Hammer Curl,hammer_curl,strength,upper_pull,pull,false,false,all,14,75,beginner,elite,"muscle_gain|muscle_toning","general_fitness",3,10,15,,45,3.5,"biceps|brachialis|forearms|curl|isolation|dumbbells|gym|home"
Resistance Band Row,band_row,strength,upper_pull,pull,true,false,all,14,85,sedentary,advanced,"posture_correction|muscle_toning|rehabilitation","general_fitness",3,12,20,,45,3.2,"back|lats|pull|resistance_bands|home_workout|hotel|office_friendly"
TRX Row,trx_row,strength,upper_pull,pull,true,false,all,14,75,beginner,advanced,"muscle_gain|muscle_toning","general_fitness",3,8,15,,60,4.5,"back|lats|pull|trx|gym|outdoor|bodyweight"
Lat Pulldown,lat_pulldown,strength,upper_pull,pull,true,false,all,14,75,beginner,elite,"muscle_gain|muscle_toning","general_fitness",3,10,15,,60,4.5,"back|lats|pull|lat_pulldown|gym"
Dumbbell Tricep Extension,db_tricep_ext,strength,upper_push,push,false,false,all,14,75,beginner,elite,"muscle_gain|muscle_toning","general_fitness",3,10,15,,45,3.5,"triceps|push|overhead|isolation|dumbbells|gym|home"
Goblet Squat,goblet_squat,strength,lower_body,squat,true,false,all,14,80,beginner,advanced,"muscle_toning|weight_loss","muscle_gain",3,10,15,,60,5.5,"legs|glutes|quads|squat|kettlebell|dumbbells|gym|home"
Barbell Back Squat,bb_back_squat,strength,lower_body,squat,true,false,all,16,65,intermediate,elite,"muscle_gain","muscle_toning",4,5,8,,120,6.0,"legs|glutes|quads|squat|barbell|gym|compound_lift"
Barbell Front Squat,bb_front_squat,strength,lower_body,squat,true,false,all,16,65,advanced,elite,"muscle_gain","muscle_toning",4,4,8,,120,6.0,"legs|quads|squat|barbell|gym|advanced"
Bulgarian Split Squat,bulgarian_split_squat,strength,lower_body,lunge,true,true,all,16,65,intermediate,elite,"muscle_gain|muscle_toning","general_fitness",3,8,12,,90,5.5,"legs|glutes|quads|lunge|unilateral|bodyweight|dumbbells|gym|home"
Forward Lunge,forward_lunge,strength,lower_body,lunge,true,true,all,14,80,beginner,elite,"weight_loss|muscle_toning","muscle_gain",3,10,15,,60,4.5,"legs|glutes|quads|lunge|unilateral|bodyweight|home_workout|gym"
Reverse Lunge,reverse_lunge,strength,lower_body,lunge,true,true,all,14,80,beginner,elite,"weight_loss|muscle_toning","rehabilitation",3,10,15,,60,4.5,"legs|glutes|quads|lunge|unilateral|bodyweight|home_workout|gym|knee_friendly"
Lateral Lunge,lateral_lunge,strength,lower_body,lunge,true,true,all,14,75,beginner,advanced,"muscle_toning|general_fitness","weight_loss",3,8,12,,60,4.0,"legs|adductors|abductors|lateral_movement|bodyweight|home_workout|gym"
Step-up,step_up,strength,lower_body,lunge,true,true,all,14,80,beginner,advanced,"weight_loss|muscle_toning|cardiovascular_health","rehabilitation",3,10,15,,60,5.0,"legs|glutes|quads|unilateral|step|gym|home|outdoor"
Romanian Deadlift,rdl,strength,lower_body,hinge,true,false,all,16,70,intermediate,elite,"muscle_gain|muscle_toning","general_fitness",3,8,12,,75,5.0,"hamstrings|glutes|hinge|dumbbells|barbell|gym|home"
Conventional Deadlift,deadlift,strength,lower_body,hinge,true,false,all,16,60,intermediate,elite,"muscle_gain","muscle_toning",4,3,6,,120,6.0,"full_body|hamstrings|glutes|back|hinge|barbell|gym|compound_lift"
Sumo Deadlift,sumo_deadlift,strength,lower_body,hinge,true,false,all,16,65,intermediate,elite,"muscle_gain","muscle_toning",4,3,6,,120,6.0,"legs|glutes|adductors|hinge|barbell|gym|wide_stance"
Barbell Hip Thrust,bb_hip_thrust,strength,lower_body,hinge,false,false,all,16,70,intermediate,elite,"muscle_gain|muscle_toning","general_fitness",3,8,12,,75,5.0,"glutes|hamstrings|hinge|barbell|bench|gym|home"
Standing Calf Raise,calf_raise_standing,strength,lower_body,push,false,false,all,14,85,sedentary,elite,"muscle_toning|general_fitness",,3,15,25,,45,3.5,"calves|isolation|bodyweight|gym|home|office_friendly"
Seated Calf Raise,calf_raise_seated,strength,lower_body,push,false,false,all,14,85,sedentary,elite,"muscle_toning|rehabilitation","general_fitness",3,15,25,,45,3.0,"calves|isolation|bench|gym|rehabilitation|seated"
Dumbbell Single Leg RDL,single_leg_rdl,strength,lower_body,hinge,true,true,all,16,70,intermediate,elite,"muscle_gain|muscle_toning|rehabilitation","general_fitness",3,8,10,,75,4.5,"hamstrings|glutes|balance|unilateral|hinge|dumbbells|gym|home"
Box Jump,box_jump,hiit,lower_body,squat,true,false,all,16,50,intermediate,elite,"weight_loss|cardiovascular_health|sport_performance",,3,5,8,,90,8.0,"plyometric|power|legs|explosive|gym|outdoor|high_impact"
Jump Squat,jump_squat,hiit,lower_body,squat,true,false,all,14,55,intermediate,elite,"weight_loss|cardiovascular_health","general_fitness",3,8,12,,75,8.5,"plyometric|legs|explosive|cardio|no_equipment|home_workout|high_impact"
Side Plank,side_plank,functional,core,rotate,false,true,all,14,80,beginner,elite,"general_fitness|posture_correction","rehabilitation",3,,20,30,45,3.5,"core|obliques|anti_lateral_flexion|stability|no_equipment|home_workout"
Dead Bug,dead_bug,rehabilitation,core,rotate,false,false,all,14,85,sedentary,elite,"rehabilitation|posture_correction","general_fitness",3,8,12,,45,2.8,"core|stability|anti_extension|rehab|back_safe|pregnancy_safe|no_equipment"
Hollow Body Hold,hollow_body,strength,core,rotate,false,false,all,14,65,intermediate,elite,"general_fitness|muscle_toning",,3,,20,30,60,3.8,"core|advanced_core|gymnastics|no_equipment|home_workout"
Mountain Climbers,mountain_climbers,cardio,core,push,true,false,all,14,65,beginner,elite,"weight_loss|cardiovascular_health","general_fitness",3,,30,30,45,8.0,"core|cardio|full_body|no_equipment|home_workout|hiit"
Bicycle Crunch,bicycle_crunch,strength,core,rotate,false,false,all,14,75,beginner,advanced,"general_fitness|muscle_toning",,3,12,20,,45,3.5,"core|obliques|rotation|no_equipment|home_workout"
Hanging Leg Raise,hanging_leg_raise,strength,core,pull,false,false,all,14,60,intermediate,elite,"muscle_gain|muscle_toning","general_fitness",3,8,15,,60,4.0,"core|hip_flexors|abs|hanging|pullup_bar|gym|home"
Reverse Crunch,reverse_crunch,strength,core,rotate,false,false,all,14,75,beginner,advanced,"general_fitness|muscle_toning",,3,12,20,,45,3.2,"core|lower_abs|hip_flexors|no_equipment|home_workout"
Russian Twist,russian_twist,strength,core,rotate,false,false,all,14,70,beginner,advanced,"general_fitness|muscle_toning",,3,12,20,,45,3.8,"core|obliques|rotation|bodyweight|gym|home"
Ab Wheel Rollout,ab_wheel_rollout,strength,core,push,false,false,all,16,60,advanced,elite,"muscle_gain|muscle_toning",,3,6,12,,90,4.5,"core|advanced|anti_extension|ab_wheel|gym|home"
Pallof Press,pallof_press,functional,core,push,false,false,all,14,80,beginner,elite,"posture_correction|rehabilitation","general_fitness",3,10,15,,45,3.0,"core|anti_rotation|stability|cable_machine|resistance_bands|gym|home"
Woodchopper,woodchopper,functional,core,rotate,true,false,all,14,70,beginner,advanced,"general_fitness|muscle_toning",,3,10,15,,45,4.0,"core|obliques|rotation|power|cable_machine|resistance_bands|gym|home"
High Knees,high_knees,cardio,cardio,squat,true,false,all,14,70,beginner,advanced,"weight_loss|cardiovascular_health","general_fitness",3,,30,30,30,8.0,"cardio|hip_flexors|calves|no_equipment|home_workout|warmup|hiit"
Butt Kicks,butt_kicks,cardio,cardio,squat,true,false,all,14,70,beginner,advanced,"weight_loss|cardiovascular_health","general_fitness",3,,30,30,30,7.0,"cardio|hamstrings|no_equipment|home_workout|warmup"
Jump Rope,jump_rope_basic,cardio,cardio,push,true,false,all,14,65,beginner,elite,"weight_loss|cardiovascular_health","general_fitness",3,,60,60,60,10.0,"cardio|calves|coordination|jump_rope|home|outdoor|hotel"
March in Place,march_in_place,cardio,cardio,squat,true,false,all,12,90,sedentary,beginner,"cardiovascular_health|weight_loss","general_fitness",1,,5,300,60,3.0,"cardio|low_impact|elderly_friendly|no_equipment|home|office|pregnancy_safe"
Lateral Shuffle,lateral_shuffle,cardio,cardio,lunge,true,false,all,14,65,beginner,advanced,"weight_loss|cardiovascular_health|sport_performance",,3,,20,30,45,7.5,"cardio|lateral_movement|agility|no_equipment|outdoor|gym"
Box Step,box_step,cardio,cardio,squat,true,false,all,14,80,sedentary,advanced,"cardiovascular_health|weight_loss","rehabilitation",3,,60,60,45,5.5,"cardio|low_impact|step|gym|home|elderly_friendly"
Skater Hops,skater_hops,hiit,cardio,lunge,true,true,all,14,60,intermediate,elite,"weight_loss|cardiovascular_health|sport_performance",,3,10,15,,75,9.0,"plyometric|lateral|agility|cardio|no_equipment|home_workout|high_impact"
Tuck Jump,tuck_jump,hiit,cardio,squat,true,false,all,16,55,intermediate,elite,"weight_loss|cardiovascular_health|sport_performance",,3,6,10,,90,10.0,"plyometric|explosive|power|legs|high_intensity|no_equipment|high_impact"
Plank to Push-up,plank_to_pushup,hiit,core,push,true,false,all,14,65,intermediate,advanced,"general_fitness|weight_loss","muscle_toning",3,8,12,,75,6.5,"core|chest|triceps|full_body|hiit|no_equipment|home_workout"
Kettlebell Swing,kb_swing,hiit,lower_body,hinge,true,false,all,16,65,intermediate,elite,"weight_loss|cardiovascular_health","muscle_gain",3,10,20,,75,9.0,"full_body|hinge|power|posterior_chain|kettlebell|gym|home"
Speed Skaters,speed_skaters,hiit,cardio,lunge,true,true,all,14,60,intermediate,elite,"weight_loss|cardiovascular_health|sport_performance",,3,10,16,,75,8.5,"lateral|plyometric|agility|no_equipment|home_workout|high_impact"
Explosive Push-up,explosive_pushup,hiit,upper_push,push,true,false,all,16,55,advanced,elite,"muscle_gain|sport_performance",,3,4,8,,90,7.0,"chest|push|plyometric|explosive|power|no_equipment|high_intensity"
Downward Facing Dog,downward_dog,flexibility,spine,push,true,false,all,14,85,sedentary,elite,"flexibility|stress_relief","general_fitness",2,,30,30,15,2.5,"yoga|hamstrings|calves|shoulders|spine|no_equipment|home|cooldown|warmup"
Pigeon Pose,pigeon_pose,flexibility,hip,rotate,false,true,all,14,75,sedentary,elite,"flexibility|rehabilitation","stress_relief",2,,45,45,10,2.0,"yoga|hip_flexors|glutes|hip_opener|no_equipment|home|cooldown"
Hip Flexor Stretch (Kneeling),kneeling_hip_flexor,flexibility,hip,lunge,false,true,all,14,85,sedentary,elite,"flexibility|posture_correction|rehabilitation","stress_relief",2,,30,30,10,2.0,"hip_flexors|stretch|desk_worker|posture|no_equipment|home|office"
Seated Hamstring Stretch,seated_hamstring,flexibility,lower_body,rotate,false,false,all,14,90,sedentary,elite,"flexibility|rehabilitation","stress_relief",2,,30,30,10,1.8,"hamstrings|stretch|cooldown|no_equipment|home|office|desk_worker"
Standing Quad Stretch,standing_quad,flexibility,lower_body,rotate,false,true,all,14,85,sedentary,elite,"flexibility|rehabilitation","general_fitness",2,,20,20,10,1.5,"quads|stretch|balance|cooldown|no_equipment|home|office|elderly_friendly"
Chest Opener Stretch,chest_opener,flexibility,upper_body,pull,false,false,all,14,90,sedentary,elite,"posture_correction|flexibility|rehabilitation","stress_relief",2,,30,30,10,1.5,"chest|pectorals|posture|stretch|desk_worker|no_equipment|home|office"
Thoracic Rotation Stretch,thoracic_rotation,mobility,spine,rotate,false,true,all,14,85,sedentary,elite,"posture_correction|flexibility|rehabilitation","stress_relief",2,,30,30,10,1.8,"thoracic|spine|rotation|mobility|desk_worker|no_equipment|home|office"
Neck Rolls,neck_rolls,flexibility,upper_body,rotate,false,false,all,14,90,sedentary,elite,"stress_relief|posture_correction|rehabilitation","flexibility",2,,30,30,0,1.3,"neck|cervical|mobility|no_equipment|home|office|desk_worker"
Figure Four Stretch,figure_four,flexibility,hip,rotate,false,true,all,14,85,sedentary,elite,"flexibility|rehabilitation","stress_relief",2,,30,30,10,1.8,"glutes|piriformis|hip_opener|no_equipment|home|office_friendly"
Seated Spinal Twist,seated_spinal_twist,flexibility,spine,rotate,false,true,all,14,90,sedentary,elite,"flexibility|posture_correction|stress_relief","rehabilitation",2,,30,30,10,1.5,"spine|back|rotation|flexibility|no_equipment|home|office_friendly"
Clamshell,clamshell,rehabilitation,hip,rotate,false,true,all,14,90,sedentary,advanced,"rehabilitation|posture_correction|general_fitness",,3,12,20,,30,2.0,"glutes|abductors|hip|rehab|resistance_bands|no_equipment|home|low_impact"
Fire Hydrant,fire_hydrant,rehabilitation,hip,rotate,false,true,all,14,90,sedentary,intermediate,"rehabilitation|posture_correction","general_fitness",3,12,20,,30,2.5,"glutes|abductors|hip|rehab|no_equipment|home|low_impact|back_safe"
Seated Leg Extension (Chair),seated_leg_ext,rehabilitation,lower_body,push,false,false,all,14,90,sedentary,beginner,"rehabilitation|general_fitness",,3,15,20,,30,2.0,"quads|rehab|elderly_friendly|seated|office|no_equipment|low_impact"
Ankle Circles,ankle_circles,rehabilitation,lower_body,rotate,false,true,all,12,90,sedentary,elite,"rehabilitation|general_fitness",,2,,20,20,0,1.2,"ankle|mobility|rehab|no_equipment|home|office|elderly_friendly|back_safe"
Shoulder Blade Squeeze,shoulder_blade_squeeze,rehabilitation,upper_body,pull,false,false,all,12,90,sedentary,elite,"posture_correction|rehabilitation","general_fitness",3,15,20,,20,1.5,"upper_back|rhomboids|posture|desk_worker|no_equipment|home|office|back_safe"
Chin Tuck,chin_tuck,rehabilitation,upper_body,pull,false,false,all,12,90,sedentary,elite,"posture_correction|rehabilitation","general_fitness",3,10,15,,20,1.2,"neck|cervical|posture|desk_worker|no_equipment|home|office|back_safe"
Wall Angels,wall_angels,rehabilitation,upper_body,push,false,false,all,14,85,sedentary,advanced,"posture_correction|rehabilitation","flexibility",3,8,12,,30,2.0,"shoulders|upper_back|posture|no_equipment|home|office|rehab|desk_worker"
Supine Hamstring Stretch,supine_hamstring,rehabilitation,lower_body,rotate,false,true,all,12,90,sedentary,elite,"rehabilitation|flexibility","general_fitness",2,,30,30,10,1.5,"hamstrings|rehab|low_impact|back_safe|no_equipment|home|elderly_friendly"
Pelvic Tilt,pelvic_tilt,rehabilitation,core,rotate,false,false,all,12,90,sedentary,elite,"rehabilitation|posture_correction","general_fitness",3,15,20,,15,1.5,"lower_back|core|pelvic_floor|rehab|back_safe|pregnancy_safe|no_equipment|home"
Seated Marching,seated_marching,rehabilitation,cardio,squat,false,false,all,12,90,sedentary,beginner,"rehabilitation|cardiovascular_health","general_fitness",2,,60,60,30,1.8,"hip_flexors|quads|cardio|elderly_friendly|seated|office|rehab|no_equipment"
Seated Cat-Cow,seated_cat_cow,rehabilitation,spine,rotate,false,false,all,12,90,sedentary,elite,"posture_correction|rehabilitation|flexibility","stress_relief",2,,30,30,0,1.5,"spine|back|mobility|desk_worker|office_friendly|no_equipment|back_safe|pregnancy_safe"
Desk Push-up,desk_pushup,strength,upper_push,push,true,false,all,14,80,sedentary,intermediate,"general_fitness|muscle_toning","rehabilitation",3,8,15,,45,2.8,"push|chest|office_workout|no_equipment|office_friendly|desk_worker"
Chair Squat,chair_squat,strength,lower_body,squat,true,false,all,12,90,sedentary,beginner,"rehabilitation|general_fitness","muscle_toning",3,8,15,,45,3.0,"legs|glutes|quads|office|rehab|elderly_friendly|no_equipment|desk_worker"
Seated Core Squeeze,seated_core_squeeze,rehabilitation,core,rotate,false,false,all,12,90,sedentary,beginner,"posture_correction|general_fitness","rehabilitation",3,,10,10,20,1.5,"core|isometric|office_friendly|seated|no_equipment|desk_worker|back_safe"
Wrist Flexor Stretch,wrist_flexor_stretch,flexibility,upper_body,push,false,false,all,12,90,sedentary,elite,"rehabilitation|general_fitness","flexibility",2,,20,20,0,1.2,"forearms|wrist|desk_worker|office|no_equipment|back_safe|elderly_friendly"
Shoulder Rolls,shoulder_rolls,flexibility,upper_body,rotate,false,false,all,12,90,sedentary,elite,"stress_relief|posture_correction","rehabilitation",2,,20,20,0,1.3,"shoulders|upper_back|neck|desk_worker|office_friendly|no_equipment|back_safe"
Standing Desk Calf Raise,desk_calf_raise,strength,lower_body,push,false,false,all,14,90,sedentary,elite,"general_fitness|cardiovascular_health","muscle_toning",3,15,25,,30,3.0,"calves|office_friendly|no_equipment|desk_worker|standing"
Glute Squeeze (Seated),seated_glute_squeeze,rehabilitation,lower_body,rotate,false,false,all,12,90,sedentary,elite,"rehabilitation|general_fitness","posture_correction",3,,5,5,15,1.3,"glutes|isometric|office_friendly|seated|no_equipment|back_safe"
Resistance Band Squat,band_squat,strength,lower_body,squat,true,false,all,14,80,beginner,advanced,"weight_loss|muscle_toning","general_fitness",3,12,20,,60,4.5,"legs|glutes|quads|resistance_bands|home_workout|hotel|portable"
Resistance Band Deadlift,band_deadlift,strength,lower_body,hinge,true,false,all,14,75,beginner,intermediate,"muscle_toning|rehabilitation","general_fitness",3,12,15,,60,4.0,"hamstrings|glutes|hinge|resistance_bands|home_workout|hotel|portable"
Resistance Band Lateral Walk,band_lateral_walk,rehabilitation,hip,lunge,true,true,all,14,85,sedentary,advanced,"rehabilitation|posture_correction","general_fitness",3,,20,20,30,3.0,"glutes|abductors|hip|rehab|resistance_bands|home_workout|hotel"
Resistance Band Bicep Curl,band_bicep_curl,strength,upper_pull,pull,false,false,all,14,85,sedentary,advanced,"muscle_toning|rehabilitation","general_fitness",3,12,20,,45,3.0,"biceps|curl|isolation|resistance_bands|home_workout|hotel|office_friendly"
Kettlebell Goblet Squat,kb_goblet_squat,strength,lower_body,squat,true,false,all,16,70,beginner,advanced,"muscle_toning|weight_loss","muscle_gain",3,10,15,,60,5.5,"legs|glutes|quads|kettlebell|gym|home"
Kettlebell Deadlift,kb_deadlift,strength,lower_body,hinge,true,false,all,16,70,beginner,advanced,"muscle_gain|muscle_toning","general_fitness",3,8,12,,75,5.0,"hamstrings|glutes|full_body|hinge|kettlebell|gym|home"
Dumbbell Walking Lunge,db_walking_lunge,strength,lower_body,lunge,true,true,all,16,65,intermediate,elite,"muscle_gain|muscle_toning|weight_loss",,3,10,16,,75,5.5,"legs|glutes|quads|lunge|dumbbells|gym|outdoor"
Dumbbell Step-up,db_step_up,strength,lower_body,lunge,true,true,all,16,70,beginner,advanced,"muscle_gain|muscle_toning","general_fitness",3,8,12,,75,5.0,"legs|glutes|quads|unilateral|dumbbells|step|gym|home"
Superman Hold,superman_hold,rehabilitation,core,rotate,false,false,all,14,85,sedentary,advanced,"rehabilitation|posture_correction","general_fitness",3,,5,5,30,2.5,"lower_back|glutes|erector_spinae|back_extension|no_equipment|home|rehab"
Prone Cobra,prone_cobra,rehabilitation,upper_body,push,false,false,all,14,85,sedentary,advanced,"posture_correction|rehabilitation","flexibility",3,,5,5,30,2.2,"upper_back|thoracic_extension|posture|no_equipment|home|rehab|desk_worker"
Inchworm,inchworm,flexibility,full_body,push,true,false,all,14,70,beginner,advanced,"flexibility|general_fitness|weight_loss",,3,6,10,,45,4.0,"full_body|warmup|hamstrings|shoulders|core|no_equipment|home_workout|gym"
Bear Crawl,bear_crawl,functional,core,push,true,false,all,14,65,beginner,advanced,"general_fitness|cardiovascular_health","muscle_toning",3,,20,20,45,6.0,"full_body|core|shoulders|coordination|no_equipment|home_workout|gym|outdoor"
Farmer's Carry,farmers_carry,functional,full_body,carry,true,false,all,16,70,beginner,advanced,"general_fitness|muscle_gain","cardiovascular_health",3,,20,30,75,5.0,"grip|forearms|traps|full_body|dumbbells|kettlebell|gym|outdoor"
Turkish Get-up,turkish_getup,functional,full_body,rotate,true,true,all,16,65,intermediate,elite,"general_fitness|muscle_toning|rehabilitation","sport_performance",3,3,5,,120,5.5,"full_body|shoulder_stability|core|mobility|kettlebell|gym|home"
Lateral Band Walk,lateral_band_walk,rehabilitation,hip,lunge,true,true,all,14,85,sedentary,advanced,"rehabilitation|posture_correction","general_fitness",3,,15,15,30,3.0,"glutes|abductors|hip_stability|rehab|resistance_bands|home|hotel"
Single Leg Balance,single_leg_balance,rehabilitation,lower_body,squat,false,true,all,14,90,sedentary,elite,"rehabilitation|general_fitness","posture_correction",3,,20,20,20,1.5,"balance|ankle|proprioception|no_equipment|home|office|elderly_friendly|rehab"
Yoga Sun Salutation A,sun_salutation_a,mind_body,full_body,push,true,false,all,14,80,sedentary,advanced,"flexibility|stress_relief|general_fitness","cardiovascular_health",2,,5,120,30,4.0,"yoga|full_body|flow|no_equipment|home|hotel|cooldown|warmup|mind_body"
Warrior I Pose,warrior_1,mind_body,lower_body,lunge,true,true,all,14,80,sedentary,advanced,"flexibility|stress_relief","general_fitness",2,,30,30,10,2.0,"yoga|hip_flexors|quads|balance|no_equipment|home|hotel|mind_body"
Warrior II Pose,warrior_2,mind_body,lower_body,lunge,true,true,all,14,80,sedentary,advanced,"flexibility|stress_relief","general_fitness",2,,30,30,10,2.2,"yoga|hip_flexors|adductors|balance|no_equipment|home|hotel|mind_body"
Bridge with Leg Extension,bridge_leg_ext,rehabilitation,lower_body,hinge,false,true,all,14,80,beginner,advanced,"rehabilitation|muscle_toning","posture_correction",3,8,12,,45,3.0,"glutes|hamstrings|core|unilateral|no_equipment|home|rehab|back_safe"
Sumo Squat Pulse,sumo_squat_pulse,strength,lower_body,squat,true,false,all,14,75,beginner,advanced,"muscle_toning|weight_loss","general_fitness",3,15,25,,45,5.0,"legs|glutes|adductors|inner_thigh|no_equipment|home_workout|hotel"
T-Spine Foam Roll,foam_roll_tspine,rehabilitation,upper_body,rotate,false,false,all,14,80,sedentary,elite,"posture_correction|rehabilitation|flexibility","stress_relief",2,,30,30,10,1.5,"thoracic|posture|myofascial_release|foam_roller|gym|home|desk_worker"
Quad Foam Roll,foam_roll_quads,rehabilitation,lower_body,rotate,false,false,all,14,80,sedentary,elite,"rehabilitation|flexibility","general_fitness",2,,30,30,10,1.8,"quads|myofascial_release|foam_roller|gym|home|cooldown"
IT Band Foam Roll,foam_roll_it_band,rehabilitation,lower_body,rotate,false,true,all,14,80,sedentary,elite,"rehabilitation|flexibility","general_fitness",2,,30,30,10,1.5,"it_band|lateral_thigh|myofascial_release|foam_roller|gym|home|knee_friendly"
